# db0=2770 (promessi_sposi.txt), db1=14339 (divina.txt)
command,connections,iterations,total_time_sec,total_operations,operations_per_sec
GET,1,10000,0.125,10000,79828
GET,2,10000,0.138,20000,145147
GET,4,10000,0.166,40000,240963
GET,8,10000,0.357,80000,224103
GET,16,10000,0.800,160000,200040
SET,1,10000,0.133,10000,75243
SET,2,10000,0.141,20000,142227
SET,4,10000,0.162,40000,246767
SET,8,10000,0.371,80000,215820
SET,16,10000,0.819,160000,195341
INCR,1,10000,0.131,10000,76539
INCR,2,10000,0.134,20000,149061
INCR,4,10000,0.157,40000,255289
INCR,8,10000,0.357,80000,223821
INCR,16,10000,0.795,160000,201311
DEL,1,10000,0.123,10000,81563
DEL,2,10000,0.139,20000,143826
DEL,4,10000,0.154,40000,259199
DEL,8,10000,0.359,80000,223127
DEL,16,10000,0.791,160000,202250
